,routeID,range,RF_RMSE,RF_R2,XGB_RMSE,XGB_R2,LGBM_RMSE,LGBM_R2,running_time
72,41A,2070,33.336645515241464,0.6833200766308734,33.134232932639875,0.6871540197162926,40.548049724960016,0.5314923593367563,3.0320041179656982
73,41B,14893,29.850673202781017,0.6865834806313476,29.061645086009875,0.7029332720310106,33.308946642419734,0.609756730929703,21.82589602470398
74,41C,44754,29.35764398447114,0.7484897945955271,28.175906916873917,0.7683304150863081,34.27426941544303,0.6571930444153365,178.39514422416687
75,41X,3906,87.4535393821731,0.910439236364565,91.09839854883278,0.9028183001457393,252.56930194339984,0.25299392404649435,12.816023826599121
76,42,41141,26.16892478365901,0.5726606058672568,24.343851388580035,0.6301890653180511,28.186093805357586,0.5042405994392845,202.49517512321472
77,42D,1545,50.46745088805191,0.8509992789536789,50.664907708312214,0.8498310501580635,124.00387979850542,0.10042748281335168,2.68157696723938
78,43,36192,28.905437468909444,0.5284053433612252,27.219951878910713,0.5817995567989306,32.36813521254526,0.4086492638339605,81.52261185646057
79,44,55168,33.14648303724821,0.642996374764329,31.413726832586548,0.6793460146321164,36.554118446068095,0.5658194686393117,137.62539911270142
80,44B,6485,32.042958600009115,0.34470168666793954,30.596470749207047,0.4025294527651243,30.193326841184422,0.4181704569277087,7.750768184661865
81,45A,43125,23.521066720979288,0.6675909090713326,22.467055647992282,0.6967148215069615,27.79389956660991,0.5358505580529805,142.99174094200134
82,46A,47983,38.58137053079706,0.6341134385829581,37.29185834999434,0.6581628898599261,43.51427052114796,0.5345697875555466,369.7406849861145
83,46E,1330,46.3317622810937,0.6454690524062443,50.25775670532936,0.5828399489986494,53.14698210121469,0.5334977638921325,3.211010217666626
84,47,39764,36.90790412081378,0.4625163381525217,35.41602504808419,0.5050901105438323,39.910036075495206,0.3715210436747627,72.90488791465759
85,49,32728,36.149463268935165,0.6291463640696928,35.0284102653838,0.6517912423220199,38.98136016109247,0.5687661817659313,85.47130990028381
86,51D,3601,48.51452196051828,0.7495491097770274,50.3425224973984,0.7303198304533407,67.43893715453422,0.5160499922007761,7.226119756698608
87,51X,1077,56.27079396175621,0.7102944219641425,58.40516773738799,0.6879003206590117,94.01164463795752,0.1913621380771583,3.3218188285827637
88,53,12428,49.36495097884265,0.5583320995682732,48.58629488514424,0.5721554738620891,45.07476522255862,0.6317647471081661,28.646822214126587
89,54A,31085,37.79338553869594,0.6203251273210479,36.36297985562342,0.6485211546559222,40.683449629468015,0.5600373580640647,108.68649196624756
90,56A,38700,34.351648009401444,0.5386350990275083,32.48248418368894,0.5874772833841154,37.276921420518924,0.4567127986156361,79.85374593734741
91,59,17219,17.72894724784188,0.6499395441005129,17.222434481013543,0.6696561385803685,18.514328067463627,0.6182376736121735,27.485826015472412
92,61,34152,32.095976909755024,0.6402955786344939,30.18542310621275,0.6818447356778848,34.67568088916081,0.580149597901719,75.55819797515869
93,63,28545,32.13939661131218,0.7303316175413324,30.97472123849127,0.7495221047572838,34.91963900572306,0.6816578955751877,68.35583591461182
94,65,56451,26.305615339309693,0.7116003271001026,25.952719953403292,0.719286309471274,33.52190496038724,0.5316665109678903,168.60769820213318
95,65B,42281,32.66189322868337,0.6615896434024051,31.350402771915917,0.6882207661024256,35.834048713104096,0.5926640927061588,84.60396790504456
96,66,40644,34.225224448271156,0.7091852790464717,32.84015112889629,0.7322471693152404,39.931242522687775,0.6041328858860773,147.42298793792725
97,66A,32477,33.067027407893136,0.7032568603220322,31.11329105791931,0.7372865666533738,36.045188037049094,0.6473978406476452,69.26099801063538
98,66B,34521,37.119060971715776,0.6705627972398083,35.58033855048781,0.6973094713077604,40.610293336857424,0.6056780682882156,62.87534213066101
99,66X,5882,53.40517297032554,0.6681075077171004,51.00622407767551,0.6972548981842566,64.53109530569458,0.5154162465735109,17.391386032104492
100,67,49495,29.533639220503304,0.7343809388740463,28.423434896135003,0.753975460892544,34.25609680234318,0.6426440141402867,170.89278173446655
101,67X,6907,51.53063215172203,0.6237083131426286,52.501787210952195,0.6093913482854267,57.87302777860973,0.5253799378200983,32.08450508117676
102,68,53809,28.989853605430827,0.6380651825984265,27.370525830113284,0.6773701094417155,33.59833445223051,0.5138460522119359,131.38204908370972
103,68A,4332,55.707204940154504,0.533921419071996,53.62403798263258,0.5681276143994616,54.38156444778942,0.5558396342423098,4.398460149765015
104,68X,1015,84.09086820073924,0.5298759027380533,80.55942916006065,0.5685329851337475,106.47114208586825,0.24633444855681208,1.448073148727417
105,69,42987,33.440840623927656,0.5647756801768862,31.271232454841897,0.6194175312653633,37.824575072083654,0.44319016366313224,91.02149724960327
106,69X,803,67.03121927017645,0.833647949471743,73.90042833168715,0.7978062013344015,147.2690437498983,0.19703455887570576,1.5565149784088135
107,7,41241,44.484861096738975,0.6555308845348808,42.576786305396816,0.6844475417500745,46.303867003577814,0.6267839292486348,116.00939512252808
108,70,32882,49.734654905683286,0.7107288819437036,48.27674137185995,0.72743960340185,52.59190102020962,0.6765370110998322,96.80712413787842
109,70D,1889,58.59974748788376,0.8061013245783559,59.94161579837446,0.7971195289820235,97.90041355519483,0.4588067069009647,2.608339786529541
110,75,61996,25.79321371681075,0.5947565323090669,25.479935810269918,0.6045407222063335,31.86274445472372,0.3815971667868092,168.66639375686646
111,76,24427,32.92997011390473,0.6160371420636304,31.112589815089674,0.6572488906382097,36.555582136273934,0.5268335415191687,76.91949009895325
112,76A,6715,54.57003029095123,0.739145730064122,59.15532059547703,0.6934670356058199,59.93967415530601,0.6852843673927587,7.935701847076416
113,77A,53668,37.55556505217217,0.33234470568296737,32.30536500573465,0.5059703660133454,37.99837413191193,0.3165075449094099,191.5103030204773
114,77X,1737,40.81079309855829,0.7175410726903874,38.97312809185989,0.7424059865192056,63.28348247080743,0.32081829876502943,2.8502931594848633
115,79,22260,30.58740884146881,0.6480722693277227,33.15136706650229,0.5865995002646347,36.46815148676201,0.4997401906009613,52.35234999656677
116,79A,21647,29.014327138959356,0.6685262882886742,32.010476169190966,0.5965326893412157,35.2252073429342,0.5114250449301112,42.56728410720825
117,7A,46151,32.30686471706349,0.6755092371311543,30.130301301225238,0.7177592864184454,34.783796205875205,0.6238451480202498,131.5968461036682
118,7B,5054,44.09301759068523,0.6536892384874526,42.94433425489042,0.6714979432340029,50.133403767488296,0.5523065633869664,10.198926210403442
119,7D,4801,62.20521518309391,0.6103881862935463,64.45735003100833,0.5816657553915332,74.01294650616589,0.44843854104992886,7.065126180648804
120,83,50511,32.398694579695174,0.6842857840261851,30.517104461551835,0.7198918386909734,34.38723549092822,0.6443411337752902,180.5029261112213
121,83A,39994,29.118277908701053,0.7110989144470861,27.72997099325702,0.7379907457988057,31.5696592694843,0.660407891459635,83.90823793411255
122,84,65755,34.568375111409324,0.6454377519970846,34.55309410222545,0.6457511524052446,38.685300696863486,0.555955480627178,166.8133249282837
123,84A,15354,41.80615630184291,0.6013638900129397,40.0702875702362,0.6337808293515955,43.82975238397044,0.5618385243310067,23.978036880493164
124,84X,8664,53.50926350377828,0.7618970231601137,51.77632612162934,0.7770695768206969,64.53874240848165,0.6536239339857075,18.57305407524109
125,9,47563,31.061809052629236,0.6421616504961671,30.22244125842633,0.661239726307967,35.15611727227865,0.5416099313134056,231.16234970092773
